date,docx,headline,outlet,topic,url
5/11/2012,IREX in the News 5-16-12,US-Azerbaijan Education Center hosts forum,En.apa.az,IREX’s role in organizing the event,http://en.apa.az/news.php?id=171426
5/14/2012,IREX in the News 5-16-12,How Iraq Is Using Reality TV and Facebook to Inspire a Generation of Peacemakers,Mashable, A 2011 IREX study ,http://mashable.com/2012/05/13/iraqi-reality-tv/
5/15/2012,IREX in the News 5-16-12,"‘It’s a Shame to Forget Actual Journalism’, IREX Media VP",Liberian Daily Observor,Story quotes Mark at WPFD,http://www.liberianobserver.com/index.php/news/item/1314-‘it’s-a-shame-to-forget-actual-journalism’-irex-media-vp
4/27/2012,IREX in the News 5-2-12,AFP Foundation among winners of IPI media innovation prize,AFP,Award from AFP Foundation,http://www.google.com/hostednews/afp/article/ALeqM5hu5E9tTn24FH4kQLrzkNILF-Td9Q?docId=CNG.97faeb0d290d24ff91c7fcf28bb4e37e.601
4/27/2012,IREX in the News 5-2-12,ULM event to shine light on foreign languages,Newsstar.com,IREX exchange students at a cultural festival in Louisiana,http://www.thenewsstar.com/article/20120427/NEWS01/120427030/ULM-event-shine-light-foreign-languages?odyssey=nav%7Chead
4/27/2012,IREX in the News 5-2-12,Internet kiosks in Azerbaijani rural areas to be connected to 3G network,En.trend.az,Paid access to full story only,http://en.trend.az/regions/scaucasus/azerbaijan/2019937.html
4/30/2012,IREX in the News 5-2-12,Azerbaijan’s ambassador to U.S. reflects on muskie experience,News.az,Muskie,http://www.news.az/articles/politics/59213
5/1/2012,IREX in the News 5-2-12,Liberia: Irex Reaffirms Commitment to Media Development,allAfrica.com,MDD in Liberia,http://allafrica.com/stories/201205010413.html
5/1/2012,IREX in the News 5-2-12,Journalists to be Awarded on Press Freedom Day,Liberianobserver.com,WPFD,http://www.liberianobserver.com/index.php/news/item/1176-journalists-to-be-awarded-on-press-freedom-day
5/2/2012,IREX in the News 5-2-12,PUL BEGINS WORLD PRESS FREEDOM DAY CELEBRATION TODAY,Theinquirer.lr,WPFD,http://theinquirer.com.lr/content1.php?main=news&news_id=511
5/16/2012,IREX in the News 5-21-12,USAID/Irex Youth for Change Program closes after two years,The Rwanda Focus,Y4C Closing,http://focus.rw/wp/2012/05/usaidirex-youth-for-change-program-closes-after-two-years/
5/29/2012,IREX in the News 5-30-12,Concord Resident Earns Fulbright Fellowship,readMedia.com,IREX grant for travel/research in the Balkans,http://readme.readmedia.com/Concord-Resident-Earns-Fulbright-Fellowship/4051171
5/30/2012,IREX in the News 5-30-12,MC REPORTS LOW PROGRESS IN 150-DAY DELIVERABLES,Theinquirer.com.lr,IREX-Liberia and LMC,http://theinquirer.com.lr/content1.php?main=news&news_id=611
6/1/2012,IREX in the News 6-19-12,MU to Help Rebuild Engineering Education in Iraq,Product Design & Development,University of Missouri professors to help improve engineering program at Iraqi university through IREX partnership,http://www.google.com/url?sa=X&q=http://www.pddnet.com/news-mu-to-help-rebuild-engineering-education-in-iraq-060112/&ct=ga&cad=CAcQARgAIAAoATAAOABA5byk_gRIAVgBYgJlbg&cd=Jg0cNkgRQeY&usg=AFQjCNFucGQN6AEHyzqh0rxXIBlqKu7kPQ
6/1/12,IREX in the News 6-19-12,US Department of State Honors Lia Putkaradze of Georgia as State Alumni Member of the Month ,eNewsChannels,State alumna of the month regularly collaborates with IREX,http://enewschannels.com/2012/06/01/enc14839_172114.php2bEVBj1GVw
6/2/12,IREX in the News 6-19-12,IREX INSTALLS WI-FI SYSTEM IN AZERBAIJAN TECHNICAL UNIVERSITY,YouTube.com,Video short detailing IREX Wi-Fi installation at Azerbaijani university,http://www.google.com/url?sa=X&q=http://www.youtube.com/watch%3Fv%3DlXrg60k7Cgs&ct=ga&cad=CAcQARgAIAEoATABOAFAipuq_gRIAVgAYgJlbg&cd=0LKtbwQYF94&usg=AFQjCNHH86M7nBGH3ueDj9gcnS32Ddpi5Q
6/5/12,IREX in the News 6-19-12,CEMESP Releases 2011 Press Freedom Report,allAfrica.com,Center for Media Studies & Peace Building notes its collaboration with IREX on civil society in its 2011 report,http://www.google.com/url?sa=X&q=http://allafrica.com/stories/201206050584.html&ct=ga&cad=CAcQARgAIAAoATAAOABA3Nm3_gRIAVgBYgJlbg&cd=NxOfTUnN5NE&usg=AFQjCNE5k_Ii0alCFYVNtHi1UTt36qcPLA
6/5/12,IREX in the News 6-19-12,IREX AzTU-DA WI-FI SİSTEMİ QURAŞDIRIB - YouTube,YouTube.com,(Azeri version of previous video),http://www.google.com/url?sa=X&q=http://www.youtube.com/watch%3Fv%3De2LgFV5NutQ&ct=ga&cad=CAcQARgAIAEoATABOAFAutW5_gRIAVgAYgJlbg&cd=1ptaZLw1EL4&usg=AFQjCNEtnblZm4daZGUVE8onhK1BL8P3VA
6/13/2012,IREX in the News 6-26-12,Scribes agree on conflict sensitive reporting check list,Daily News Zimbabwe,18 Zimbabwean journalists produce a checklist for conflict-sensitive reporting during a training sponsored by IREX and Zimbabwean Union of Journalists,http://dailynews.co.zw/index.php/news/34-news/9888-scribes-agree-on-conflict-sensitive-reporting-check-list.html
6/25/12,IREX in the News 6-26-12,IREX Teachers for Global Classrooms - Brazil DAY ONE,YouTube.com,Teachers for Global Classrooms participant’s video blog of day one in Brasilia,http://www.google.com/url?sa=X&q=http://www.youtube.com/watch%3Fv%3DhIwLjOcVIi8&ct=ga&cad=CAcQARgAIAEoATAAOABA3Oqj_wRIAVgAYgJlbg&cd=fIR-YZR5Vh4&usg=AFQjCNG-gJ9MaXcxW3l_mAkPNCOynAYUrg
7/5/12,IREX in the News 7-10-12,IREX Teachers for Global Classrooms – Days 3 Through 12,YouTube.com,Teachers for Global Classrooms participant’s video blog,http://www.youtube.com/user/chrisippolitoteched
7/2/12,IREX in the News 7-10-12,Serbian media “in worst situation since 2000”,B92 English (based in Belgrade),Assessment of Serbian media situation based on IREX’s MSI,http://www.b92.net/eng/news/society-article.php?yyyy=2012&mm=07&dd=02&nav_id=81065
7/2/12,IREX in the News 7-10-12,Beyond Access Makes the Case for Libraries in Global Development,Justmeans,Beyond Access press release,http://www.justmeans.com/press-releases/Beyond-Access-Makes-the-Case-for-Libraries-in-Global-Development/9602.html
7/1/12,IREX in the News 7-10-12,IREX Make a Better World Photo Contest,Photographycompetitions.net,Photo competition aggregator with link to our contest,http://www.photographycompetitions.net/2012/07/irex-make-a-better-world-photo-contest-2/
6/28/12,IREX in the News 7-10-12,"Iraqis Interested More in Local News Than Democracy, Other Issues: Study",HispanicBusiness.com,Opinion poll commissioned by IREX,http://www.hispanicbusiness.com/2012/6/28/iraqis_interested_more_in_local_news.htm
6/27/12,IREX in the News 7-10-12,Independent Survey Ranks Rudaw Iraq’s Top Kurdish Newspaper,Rudaw English,Based on same survey as above,http://www.rudaw.net/english/kurds/4886.html
7/23/12,IREX in the News 7-24-12,USAID and IREX hand over Community Information Centers to local ...,USAID.gov,Azerbaijan announcement,http://www.google.com/url?sa=X&q=http://azerbaijan.usaid.gov/node/192&ct=ga&cad=CAcQARgAIAEoATAAOABA0O63gAVIAVgAYgJlbg&cd=PMR1AJMYc4k&usg=AFQjCNEfLRwXmowIfdISY1qRX6dJWdtTkQ
7/22/12,IREX in the News 7-24-12,Media Literacy Project to host two IREX Fellows from Uganda ...,MediaLiteracyProject.org,Announcement of MLP’s partnership with IREX & ECA; profiles both fellows,http://www.google.com/url?sa=X&q=http://medialiteracyproject.org/news/media-literacy-project-host-two-irex-fellows-uganda&ct=ga&cad=CAcQARgAIAEoATAAOABAwJWvgAVIAVgAYgJlbg&cd=0oVAh27W-HU&usg=AFQjCNEvD_9Zw02PiMZ9TFP97yIFFZ6tfw
7/15/12,IREX in the News 7-24-12,IREX Receives USIP Grant for Youth Peacebuilding and Conflict Resolution Program in Kyrgyzstan,ICTdev.org,USIP press release,http://www.ictdev.org/pulse/20120713/announcements/irex-receives-usip-grant-youth-peacebuilding-and-conflict-resolution-pr
7/27/12,IREX in the News 7-31-12,"Azerbaijani Communication and IT Ministry to support ""Electronic Village” Project",Trend.az (Azerbaijan news outlet),Local news coverage of Electronic Village project,http://www.google.com/url?sa=X&q=http://en.trend.az/regions/scaucasus/azerbaijan/2051034.html&ct=ga&cad=CAcQARgAIAAoATAAOABA4ILKgAVIAVgBYgJlbg&cd=vbZ8sQSrnKU&usg=AFQjCNHwvBCqTtDomZFR3p28M4l_lovEHA
8/14/12,IREX in the News 8-14-12,CEMESP-IREX Roll-Out Good Governance Training in South-East,allAfrica.com,Details CEMESP’s re-launch of training program in two Liberian counties ,http://www.google.com/url?sa=X&q=http://allafrica.com/stories/201208140993.html&ct=ga&cad=CAcQARgAIAAoATAAOABA9b6pgQVIAVgBYgJlbg&cd=AHNMzy3hAG4&usg=AFQjCNF5tRWvPq599fBETnHXv4bkPqYeKw
 ,IREX in the News 8-21-12,, , ,
9/16/12,IREX in the News 9-18-12,Visiting IREX Administrator from Ukraine :: Office of Global Initiatives ...,Eastern Washington University Office of Global Initiatives,Announcement,http://www.google.com/url?sa=X&q=http://global.ewu.edu/ogi/news.html/2012/09/ukraine2012/&ct=ga&cad=CAcQARgAIAEoATAAOABAtIvaggVIAVgAYgJlbg&cd=D6ZhO8_qMrI&usg=AFQjCNFzEig0diUCmxOby09OY0VbONDlKg
9/14/12,IREX in the News 9-18-12,allAfrica.com: Liberia: IREX Launches Report On 2011 Elections,allAfrica.com,Announcement,http://www.google.com/url?sa=X&q=http://allafrica.com/stories/201209121312.html&ct=ga&cad=CAcQARgAIAEoATAAOABA09DNggVIAVgAYgJlbg&cd=K_4-eZKPSRs&usg=AFQjCNGYPZa27ZqEGJXVyv1G0QvjpGDjUw
9/12/12,IREX in the News 9-18-12,9/11 attacks victims commemorated in Baku,Trend.az,IREX representatives and UGRAD alumni join U.S. Embassy Baku staff to commemorate 9/11 and do community service,http://www.google.com/url?sa=X&q=http://en.trend.az/news/politics/2064296.html&ct=ga&cad=CAcQARgAIAAoATAAOABAnLfAggVIAVgBYgJlbg&cd=6IUEVd7mLYg&usg=AFQjCNENtAVWsFkAi2k0hMgiPyikAbi6IQ
9/11/12,IREX in the News 9-18-12,US embassy community members commemorate 11 September victims in ...,News.az,IREX representatives and UGRAD alumni join U.S. Embassy Baku staff to commemorate 9/11 and do community service,http://www.google.com/url?sa=X&q=http://news.az/articles/society/68004&ct=ga&cad=CAcQARgAIAAoATAAOABA9ou-ggVIAVgBYgJlbg&cd=6XzlwSuycUg&usg=AFQjCNE4bkFHfQKQR_gA-3I0C-YDcBiJ6w
9/3,IREX in the News 9-4-12,allAfricacom Liberian Journalist Lauds IREX for Capacity Training,allAfrica.com, ,http://www.google.com/url?sa=X&q=http://allafrica.com/stories/201209031547.html&ct=ga&cad=CAcQARgAIAEoATAAOABA27KTggVIAVgBYgJlbg&cd=TJkMXdKpSns&usg=AFQjCNFMFl6J3FHRCPV7b7bc9c1lN0_vaw
8/31,IREX in the News 9-4-12,Two Counties Receive CEMESP-IREX Good Governance Package,allAfrica.com, ,http://www.google.com/url?sa=X&q=http://allafrica.com/stories/201208310678.html&ct=ga&cad=CAcQARgAIAAoATAAOABAm5uCggVIAVgBYgJlbg&cd=AOVYcjh-Eac&usg=AFQjCNH1CjxUXOlwpIw2-OG-PJIhRR_4UQ
8/30,IREX in the News 9-4-12,IREX Launches Digital Journalism Project in Tunisia - ICTDev dot org,ICTDev.org, ,http://www.google.com/url?sa=X&q=http://www.ictdev.org/pulse/20120829/announcements/irex-launches-digital-journalism-project-tunisia&ct=ga&cad=CAcQARgAIAEoATACOAJA_OD-gQVIAVgAYgJlbg&cd=JN-Z7_5T1-0&usg=AFQjCNEGdiw_mVah2VUn5cMxuC7KHJHWHA
1/4/2015,Jan 1- Jan 5,A Thuggish Regime Challenges the U.S.,Wallstreet Journal,"Op-ed wondering how the United States will respond to Azerbaijan’s multiple attacks on free media, including shutting down IREX",http://www.wsj.com/articles/david-j-kramer-a-thuggish-regime-challenges-the-u-s-1420410979
1/3/2015,Jan 1- Jan 5,"Leaders stronger, reduce the world's journalists (Originally in Turkish)",Kibristahaber,"Azerbaijan’s crack down on press freedom, including shutting down IREX",http://www.kibristahaber.com/siyaset/liderler-guclendikce-kuculdu-gazetecinin-dunyasi-h139247.html
01/13/2015,Jan 13- Jan 19,"In Washington, held hearings ""suppression of independent voices in Azerbaijan"" (Originally in Russian)",Panorama,"Washington held hearings on the human rights situation in Azerbaijan. The National Endowment for Democracy (NED) organized the debate on ""The suppression of independent voices in Azerbaijan."" The Hearing focused on the arrests and persecution of social activists and media personnel, and the closure of the western NGOs working in the country. The head of the Azerbaijani service of ""Radio Liberty"" Kanan Aliyev said that the Azerbaijani authorities have systematically persecuted international media and NGOs, trying to take full control of the country's media. ""In recent years, the government of Azerbaijan actually kicked out American organizations like IREX, NDI, the Peace Corps.”",http://www.panorama.am/ru/law/2015/01/13/washington-azerbaijan/
1/13/2015,Jan 13- Jan 19,Hearings on ‘‘suppression of independent voices in Azerbaijan’’ are held in Washington,Panorama,"Same article, but in English",http://www.panorama.am/en/politics/2015/01/13/washington-azerbaijan/
1/14/2015,Jan 13- Jan 19,Threats Cramer: the futility of appeals for a boycott and sanctions (originally in Russian),1 News,"It's no secret that a number of international organizations operating in Azerbaijan, and engaged in activity that is appropriate to their name. Closing in Baku offices IREX, the National Democratic Institute, Transparency International and Oxfam explained a reason. They are doing things that contradict Azerbaijani legislation. ",http://www.1news.az/politics/20150114063726975.html
1/15/2015,Jan 13- Jan 19,"""Plainly journalists engaged in self-education for life ""- believe metropolitan counterparts, originally from Cherkasy region (Originally in Ukrainian)",Procherk,Journalists give their opinions regarding higher education requirements. One journalist said higher education should be required. She won a professional development grant through IREX for a professional level corresponding journalism course.,http://procherk.info/tabloid/99-cherkassy-news/29874-tolkovi-zhurnalisti-vse-zhittja-zajmajutsja-samoosvitoju-perekonani-stolichni-kolegi-rodom-z-cherkaschini
1/15/2015,Jan 13- Jan 19,Azerbaijan’s Hidden Crackdown on Civil Society,Geopolitical Monitor,"About Azerbaijan’s crackdowns. Other foreign-funded programs – notably the International Research & Exchanges Board (IREX) and the National Democratic Institute – were shuttered in the country in 2014, as well as the Oslo-based Human Rights House Network, all for failing to have proper registration documents.",http://www.geopoliticalmonitor.com/azerbaijans-hidden-crackdown-civil-society/
1/16/2015,Jan 13- Jan 19,Azerbaijan Turns on US-Funded Broadcaster,IWPR,"President Ilham Aliyev’s administration spent much of 2014 detaining and jailing journalists, political opponents and others, and shutting down  quickened its is the latest in a series of attempts to eliminate media pluralism. Several local and foreign groups that supported media freedom and democracy were shut down over the course of the year, among them the National Democratic Institute and IREX",https://iwpr.net/global-voices/azerbaijan-turns-us-funded-broadcaster
1/16/2015,Jan 13- Jan 19,Azerbaijan Concerned About Human Rights -- In The United States,Radio Free Europe Radio Liberty,"Azerbaijani lawmakers have decided to take a good hard look at the issue of human rights -- in the United States. Azerbaijan's parliament held hearings on January 15 to probe issues including U.S. race relations, anti-Muslim bigotry, and the Guantanamo Bay detention camp. Azerbaijan has come under international criticism for a wide range of human rights abuses, including the arrest of journalists and activists and the closure of numerous NGOs. In recent months, Azerbaijani authorities have also closed down a number of NGOs, including the Baku branches of the National Democratic Institute (NDI) and the International Research and Exchanges Board (IREX).",http://www.rferl.org/content/azerbaijan-human-rights-united-states/26797395.html
1/16/2015,Jan 13- Jan 19,Children learn about culture of entrepreneurship (Originally in Spanish),La Republica,"Future national entrepreneurs are forming from now, thanks to a program that encourages primary and secondary students to create their own businesses. The National Culture Programme Read Living Foundation joins with different -local and foreign- companies to provide the tools and knowledge necessary. Some of the entrepreneurs that have motivated minors have been the Clinica Biblica, Babel Group, Laboratorios Stein, Irex Group companies, among others.",https://www.larepublica.net/app/cms/www/index.php?pk_articulo=533325079
1/17/2015,Jan 13- Jan 19,AZERBAIJAN’S HIDDEN CRACKDOWN ON CIVIL SOCIETY – ANALYSIS,Eurasia Review,Reprint of Geopolitical monitor article,http://www.eurasiareview.com/17012015-azerbaijans-hidden-crackdown-civil-society-analysis/
1/18/2015,Jan 13- Jan 19,What is not being reported in Azerbaijan,Al Jazeera,"For years, journalists in Azerbaijan have suffered harsh penalties for defending their freedom of speech - from prison sentences to interrogation and the confiscation of broadcasting equipment. In just a few days, over 30 former and current staff members of RFE/RL were questioned, including the bureau's cleaner. On December 30, the government accused the radio and its staff of espionage, money laundering and appropriation of funds as part of the ongoing criminal investigation against foreign-funded entities in Azerbaijan. Similar measures were taken against Institute for Reporters' Freedom and Safety (IRFS), the Media Rights Institute, and International Research and Exchanges Board (IREX). The offices of all three were raided in August and sealed shut with IREX leaving the country shortly after. The director of IRFS, Emin Huseynov, remains in hiding.",http://www.aljazeera.com/indepth/opinion/2015/01/what-not-being-reported-azerbaij-20151684331464440.html
1/19/2015,Jan 13- Jan 19,ROG: Azerbaijani President Aliyev has imprisoned journalists and bloggers blank (Originally in German),Finanzen.net,"Reporters Without Borders urges the Azerbaijani President Ilham Aliyev to allow expression and press freedom in his country. NGOs in Azerbaijan were also persecuted in the past few months. In August last year, about a dozen NGOs’ accounts were closed, including the ""Institute of Reporters Freedom and Safety” and IREX, an organization that promotes independent media and the ""Media Rights Institute"".",http://www.finanzen.net/nachricht/aktien/ROG-Aserbaidschans-Praesident-Alijew-muss-inhaftierte-Journalisten-und-Blogger-freilassen-4130727
1/19/2015,Jan 13- Jan 19,Azerbaijani President has imprisoned journalist and bloggers (Originally in German),02 Elf,Same article as Finanzen,http://www.02elf.net/international/inhaftierte-journalisten-und-blogger-freilassen-889554
1/19/2015,Jan 13- Jan 19,Al Jazeera: ‘‘Armenian factor’’ – another popular tool used by governmental circles to punish dissent in Azerbaijan,Panorama,Reprint of Al Jazeera article,http://www.panorama.am/en/politics/2015/01/19/jazeera-az/
1/19/2015,Jan 19- Jan 26,"Al Jazeera: «Armenian factor"" is for the authorities of Azerbaijan one of the instruments of punishment Dissent (Originally in Russian)",Erkramas,"Summary of Al Jazeera article. The article notes that such measures were also taken against the Institute of Freedom and Safety (IRFS), Media Rights Institute and The Council of the International Research and Exchange (IREX), immediately followed by IREX left the country, and the director of the IRFS Emin Huseynov still hiding .",http://www.yerkramas.org/article/86439/Al-Jazeera-%C2%ABarmyanskij-faktor%C2%BB-yavlyaetsya-dlya-vlastej-azerbajdzhana-odnim-iz-instrumentov-nakazaniya-nesoglasnyx
1/20/2015,Jan 19- Jan 26,The Story of a betrayal: Azerbaijanis formed a united front with the Armenians - PHOTOS (Originally in Russia),News Day,"Who represented Azerbaijan at these hearings? Please, here's a list of names of this: representative of the organization ""Advantec Solutions"" Orhan Beyukzade employee İREX Ulvi Ismail",http://news.day.az/politics/549995.html
1/20/2015,Jan 19- Jan 26,Azerbaijanis and Armenians united front in Washington against us and Aliyev  (Originally in Russian),Haqqin,Mentions that IREX is among the organizations that were under scrutiny for betraying Azerbaijan,http://haqqin.az/news/37791
1/20/2015,Jan 19- Jan 26,Deliberately brushy - to confuse (Originally in Swedish),Aftonbladet,"The structure of organizations in the US development agency USAID is extremely tricky. The goal of the setup is to make hide American involvement. USAID payments in Georgia rarely appear in public accounts. Instead, they are channeled through a variety of intermediaries such as IREX, Booz Allen Hamilton (Edward Snowdens old employer), and Project Harmony.",http://www.aftonbladet.se/nyheter/article20152815.ab
1/20/2015,Jan 19- Jan 26,What is not being reported in Azerbaijan,Axis of Logic,"Reprint of Al Jazeera. For years, journalists in Azerbaijan have suffered harsh penalties for defending their freedom of speech - from prison sentences to interrogation and the confiscation of broadcasting equipment. Similar measures were taken against Institute for Reporters' Freedom and Safety (IRFS), the Media Rights Institute, and International Research and Exchanges Board (IREX). The offices of all three were raided in August and sealed shut with IREX leaving the country shortly after. The director of IRFS, Emin Huseynov, remains in hiding. ",http://axisoflogic.com/artman/publish/Article_69099.shtml
1/21/2015,Jan 19- Jan 26,"Competition for program development and training on ""Advocacy Emergency"" for public libraries (Originally in Ukrainian)",Civicua,"International Research & Exchanges Board (IREX) as part of ""Bibliomist"" announces tender for development programs and training ""Emergency advocacy"" for public libraries that were under threat of closure due to limited funding priorities change or local authorities or by material competitive interests of institutions and individuals.",http://www.civicua.org/news/view.html?q=2391093
1/23/2015,Jan 19- Jan 26,"Azerbaijan: 2015 to be a tough year for media, NGOs",Silk Road,"In late November, the Milli Majlis (Parliament of Azerbaijan) amended the law on NGOs to toughen the conditions for the activities of foreign donors. In particular, the law stated that all organizations must be registered to be able to receive funding. Lawyer Alasgar Mammadli, who was employed by IREX until it was closed last year along with NDI, Transparency International, Oxfam and others, says the new law on grants states that every person who has received a grant, regardless if it’s an organization or an individual should immediately register it with the Ministry of Justice.",http://www.silkroadreporters.com/2015/01/23/azerbaijan-media-2015/
1/24/2015,Jan 19- Jan 26,Ahli Club Qalqilya distributes school bags for persons with disabilities (Originally in Arabic),Qalailia,"This initiative is a partnership among the Qalqilya Club and IREX Foundation, funded by USAID, within a community-based rehabilitation program led by the mayor of Qalqilya.",http://www.qalqilia.com/10243.html
1/24/2015,Jan 19- Jan 26,The distribution of school bags initiative Let's play for people with disabilities (Originally in Arabic),Maan News,Same article as above,http://www.maannews.net/arb/ViewDetails.aspx?ID=756127
1/26/2015,Jan 19- Jan 26,Hebron: Palestinian child house organizes days of employment (Originally in Arabic),Al Quds,The Palestinian Child Hebron organized a job fair at the Hebron Kennel Club with the participation of more than 30 Palestinian Foundation Inc employers and the presence of about 500 university students and graduates.,http://www.alquds.com/news/article/view/id/543336
1/27/15,Jan 27-Feb 1,The house of a Palestinian child Club salutes the days main employers par excellence (Originally in Arabic),Shfa News,"The Palestinian Child Hebron, in cooperation with IREX’s Partnerships with Youth program, organized a job fair at the Hebron Kennel Club with the participation of more than 30 Palestinian Foundation Inc employers and the presence of about 500 university students and graduates.",http://www.shfanews.net/index.php/2012-02-13-06-11-09/2012-02-13-11-16-21/41734-i
1/27/15,Jan 27-Feb 1,TCO has invested more than $ 930 million. For social projects in Atyrau region (Originally in Russia),Kazinform,"Discusses Tengizchevroil’s social investment programs in Kazakhstan’s Atyrau region and it’s work with organizations, including IREX.",http://www.inform.kz/rus/article/2740783
1/28/15,Jan 27-Feb 1,Azerbaijan Doubles Journalist's Jail Time,Radio Free Europe Radio Liberty (RFE/RL),"An Azeri court extended the pre-trial detention of independent journalist and RFE/RL contributor Khadija Ismayilova. RFE/RL’s Baku bureau was raided and sealed shut on December 26 by agents of the state’s ""grave crimes investigations committee"" in connection with a new law on so-called ""foreign agents."" The same law was invoked to force the National Democratic Institute, IREX, and other organizations supporting civil society development to suspend their local operations.",http://www.rferl.org/content/release-azerbaijan-doubles-journalists-jail-time-khadija-ismayilova/26818661.html
1/28/15,Jan 27-Feb 1,Liberia: Irex Begins E-Cap Training for Community Radios,All Africa,"IREX began a four-day capacity-building workshop for media practitioners in Ganta, Nimba County, aimed at increasing awareness of the Ebola virus among journalists.",http://allafrica.com/stories/201501290917.html
1/29/15,Jan 27-Feb 1,Liberia: Civil Society Ebola Taskforce to Host Dialogue,All Africa,"The National Civil Society EBOLA Response Taskforce, funded by USAID through IREX, will conduct the second of three policy dialogue forums in Monrovia to engage policy makers to address critical gaps and challenges facing the government in responding to the Ebola epidemic, post-Ebola challenges, and the impact of the virus on other aspects of public life.",http://allafrica.com/stories/201501301128.html
1/30/15,Jan 27-Feb 1,Azerbaijan Radio Liberty farm (Originally in French),Arme News,"After a year of harassment of journalists and critics of the government, Azerbaijani authorities came down in the Baku office of Radio Free Europe / Radio Liberty (RFE / RL) on December 26, the latest in a series of attempts to remove media pluralism. Several local and foreign groups who supported media freedom and democracy were closed during the year, including the National Democratic Institute and IREX.",http://www.armenews.com/article.php3?id_article=107331
1/30/15,Jan 27-Feb 1,Ahli Qalqilya regulates celebration honorary graduates courses Foundation (Originally in Arabic) ,Maan News,"The Palestinian community celebrated the graduation of 900 students from their journalism, media and photography courses, implemented by the Al-Ahli Club in cooperation with IREX through the Partnerships with Youth program.",http://www.maannews.net/arb/ViewDetails.aspx?ID=757693
1/30/15,Jan 27-Feb 1,"""Press Development Institute - Siberia"" is recognized as a foreign agent (Originally in Russian)",Ria,"The Russian Ministry of Justice has made ​​a nonprofit partnership ""Press Development Institute - Siberia"" in the register of NGOs acting as a foreign agent, according to the Ministry’s website. The site also reported that it was created with financial support from the European Commission and USAID through IREX.",http://ria.ru/society/20150130/1045119219.html
1/30/15,Jan 27-Feb 1,BBG calls for release of Khadija Ismayilova (Originally in Spanish),Voice of America,"The US Broadcasting Board of Governors (BBG) expressed concern over the imprisonment of reporter Khadija Ismayilova. Foreign organizations, such as the National Democratic Institute and IREX, which support the development of civil society have also been suspended from their local operations in Azerbaijan.",http://www.voanoticias.com/content/azerbaiyan-khadija-ismayilova-detencion-bbg-rfe-rl/2621114.html
1/30/15,Jan 27-Feb 1,Qalqilya Ahli Club organizes honorary celebration for graduates of recent sessions (Originally in Arabic),Alwatan Voice,Same as article above from “Maan News”,http://www.alwatanvoice.com/arabic/news/2015/01/31/654856.html
1/6/2015,Jan 6- Jan 12,Grants Washington and Grenades revolution (our analyst) (Originally in Russian),Haqqin,"Azerbaijan is the victim of attack by international human rights organizations and the United States.  The United States funds non-government organizations, like IREX, to destabilize Azerbaijan and cause controlled chaos.",http://haqqin.az/news/36897
1/6/2015,Jan 6- Jan 12,"US expert: Europe sluggish responding Azerbaijan because of ""caviar diplomacy"" (Originally in Russian)",Erkramas,"About Azerbaijan’s attack on free media, journalist imprisonment, and organization shuttering. Mentions IREX’s closing, along with NDI.  ",http://www.yerkramas.org/article/85810/amerikanskij-ekspert-evropa-vyalo-reagiruet-na-dejstviya-azerbajdzhana-iz-za-%C2%ABikornoj-diplomatii%C2%BB
No date,Jan 6- Jan 12,The office of RFE / RL in Baku in turn affected by repression (Originally in French),Nouvelles Armenie,About the attack on Radio free Europe and Azerbaijan’s repression of human rights and speech. Mentions IREX’s raid and subsequent sealing.,http://www.armenews.com/article.php3?id_article=106705
1/8/2015,Jan 6- Jan 12,"Azerbaijani service of ""Radio Liberty"" partially resumed broadcasting",Kavkaz,"Azerbaijani service of ""Radio Liberty"" partially resumed its broadcasts on the air after a two-week break caused by the closure of its offices in Baku. US Congressman Bill Keating condemned Azerbaijani authorities for the closure of ""Radio Liberty"" in Baku. ""I am extremely concerned about the attack of the Azerbaijani authorities in the US and international NGOs and independent media,"" Keating said that authorities closed the organizations IREX , NDI , and Peace Corps.",http://www.kavkaz-uzel.ru/articles/255287/
1/9/2015,Jan 6- Jan 12,"Why arrest Khadija Ismail forced the former director of Radio ""Liberty"" require the CIA ending the recruitment of journalists (originally in Russian)",Dziennik,Accuses the CIA of sending security agents under the guise of reporters and journalists. Says that Khadija Ismail worked as a Grants Manger Media Support Program of IREX and that IREX tried to influence public opinion against Azerbaijan through journalism ,http://www.1news.az/authors/oped/20150109021928677.html
7/13/15,July 13 - July 19,Nagorno-Karabakh: between a rock and a hard place,Open Democracy,The growing incompatibility between the deteriorating democracy in Azerbaijan versus the developing democracy in Nagorno-Karabakh has become a reality.,https://www.opendemocracy.net/can-europe-make-it/haykaram-nahapetyan/azerbaijan%E2%80%99s-%E2%80%9Cwar%E2%80%9D-against-western-institutions-why-baku%E2%80%99s-cr
7/14/15,July 13 - July 19,With new knowledge about entrepreneurship (Originally in Romanian),Expresul,27 young people gathered at the Public Library of Nisporeni to discuss development opportunities in entrepreneurship – this meeting was organized by IREX Europe.,http://www.expresul.com/2015/07/14/cu-noi-cunostinte-despre-antreprenoriat/
